Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
266.0,1,Alabama,9,39,60,,Sep 22,,,,,,,,Rasmussen-1
260.5,2,Alabama,9,34,64,,Sep 17,,,,,,,,SurveyUSA-2
258.5,4,Alabama,9,36,58,,Sep 16,,,,,,,,ARG-4
255.5,8,Alabama,9,25,52,,Sep 15,,,,,,,,U. of South Alabama-8
250.0,7,Alabama,9,35,55,,Sep 09,,,,,,,,Capital Survey-7
214.0,7,Alabama,9,34,47,,Aug 04,,,,,,,,Capital Survey-7
213.0,1,Alabama,9,37,55,,Jul 31,,,,,,,,Rasmussen-1
178.0,1,Alabama,9,36,51,,Jun 26,,,,,,,,Rasmussen-1
177.5,2,Alabama,9,36,49,,Jun 26,,,,,,,,Capital Survey-2
152.0,5,Alabama,9,33,57,,Jun 02,,,,,,,,Capital Survey-5
148.0,1,Alabama,9,32,60,,May 27,,,,,,,,Rasmussen-1
138.0,3,Alabama,9,34,57,,May 18,,,,,,,,SurveyUSA-3
111.0,9,Alabama,9,36,55,,Apr 24,,,,,,,,Capital Survey-9
103.0,3,Alabama,9,32,64,,Apr 13,,,,,,,,SurveyUSA-3
 93.0,1,Alabama,9,37,55,,Apr 02,,,,,,,,Rasmussen-1
 85.5,4,Alabama,9,30,57,,Mar 27,,,,,,,,U. of South Alabama-4
 75.0,3,Alabama,9,35,62,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Alabama,9,40,54,,Feb 28,,,,,,,,SurveyUSA-3
 16.5,2,Alabama,9,29,63,,Jan 17,,,,,,,,SurveyUSA-2
  1.0,1,Alabama,9,37,63,,Jan 01,,,,,,,,Election 2004-1
263.0,5,Alaska,3,37,55,,Sep 21,,,,,,,,Fairleigh Dickinson U.-5
260.0,3,Alaska,3,38,55,,Sep 17,,,,,,,,Research 2000-3
254.0,3,Alaska,3,39,55,,Sep 11,,,,,,,,ARG-3
253.0,1,Alaska,3,33,64,,Sep 09,,,,,,,,Rasmussen-1
244.5,4,Alaska,3,35,54,,Sep 02,,,,,,,,Ivan Moore Research-4
212.0,1,Alaska,3,39,44,,Jul 30,,,,,,,,Rasmussen-1
199.0,1,Alaska,3,40,45,,Jul 17,,,,,,,,Rasmussen-1
197.0,3,Alaska,3,41,51,,Jul 16,,,,,,,,Research 2000-3
168.0,1,Alaska,3,41,45,,Jun 16,,,,,,,,Rasmussen-1
135.0,1,Alaska,3,41,50,,May 14,,,,,,,,Rasmussen-1
134.0,3,Alaska,3,42,49,,May 14,,,,,,,,Research 2000-3
 98.0,1,Alaska,3,43,48,,Apr 07,,,,,,,,Rasmussen-1
 58.0,3,Alaska,3,43,48,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Alaska,3,35,62,,Jan 01,,,,,,,,Election 2004-1
273.0,1,Arizona,10,38,59,,Sep 29,,,,,,,,Rasmussen-1
270.5,4,Arizona,10,38,45,,Sep 28,,,,,,,,Arizona State U.-4
256.5,4,Arizona,10,39,56,,Sep 14,,,,,,,,ARG-4
228.0,3,Arizona,10,30,40,,Aug 16,,,,,,,,Arizona State U.-3
227.0,3,Arizona,10,41,47,,Aug 15,,,,,,,,Mason-Dixon-3
212.0,1,Arizona,10,36,52,,Jul 30,,,,,,,,Rasmussen-1
177.0,1,Arizona,10,40,49,,Jun 25,,,,,,,,Rasmussen-1
172.5,2,Arizona,10,28,38,,Jun 21,,,,,,,,Arizona State U.-2
137.0,9,Arizona,10,39,50,,May 20,,,,,,,,Rocky Mtn Poll-9
116.5,4,Arizona,10,38,47,,Apr 27,,,,,,,,Arizona State U.-4
106.0,1,Arizona,10,37,57,,Apr 15,,,,,,,,Rasmussen-1
 94.5,10,Arizona,10,33,55,,Apr 08,,,,,,,,Northern Arizona U.-10
 58.0,3,Arizona,10,39,51,,Feb 28,,,,,,,,SurveyUSA-3
 53.5,4,Arizona,10,38,49,,Feb 24,,,,,,,,Arizona State U.-4
  1.0,1,Arizona,10,45,55,,Jan 01,,,,,,,,Election 2004-1
266.0,1,Arkansas,6,42,51,,Sep 22,,,,,,,,Rasmussen-1
265.0,3,Arkansas,6,41,53,,Sep 22,,,,,,,,ARG-3
196.0,1,Arkansas,6,37,47,,Jul 14,,,,,,,,Rasmussen-1
168.0,1,Arkansas,6,41,45,,Jun 16,,,,,,,,Rasmussen-1
164.0,1,Arkansas,6,39,48,,Jun 12,,,,,,,,Rasmussen-1
133.0,1,Arkansas,6,33,57,,May 12,,,,,,,,Rasmussen-1
 78.0,1,Arkansas,6,30,59,,Mar 18,,,,,,,,Rasmussen-1
 68.5,6,Arkansas,6,27,43,,Mar 11,,,,,,,,Opinion Res.-6
 58.0,3,Arkansas,6,33,53,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Arkansas,6,45,54,,Jan 01,,,,,,,,Election 2004-1
278.5,2,California,55,55,39,,Oct 05,,,,,,,,SurveyUSA-2
267.5,2,California,55,53,43,,Sep 24,,,,,,,,SurveyUSA-2
266.0,1,California,55,56,39,,Sep 22,,,,,,,,Rasmussen-1
263.0,3,California,55,53,39,,Sep 20,,,,,,,,ARG-3
256.5,8,California,55,50,40,,Sep 16,,,,,,,,Public Policy Inst. of Calif.-8
253.5,10,California,55,52,36,,Sep 14,,,,,,,,Field Poll-10
233.0,1,California,55,51,37,,Aug 20,,,,,,,,Rasmussen-1
228.5,8,California,55,48,39,,Aug 19,,,,,,,,Pub. Policy Inst. of Calif.-8
206.0,1,California,55,50,38,,Jul 24,,,,,,,,Rasmussen-1
197.0,15,California,55,50,35,,Jul 22,,,,,,,,Pub. Policy Inst. of Calif.-15
193.0,7,California,55,54,30,,Jul 14,,,,,,,,Field Poll-7
175.0,1,California,55,58,30,,Jun 23,,,,,,,,Rasmussen-1
170.0,3,California,55,53,41,,Jun 19,,,,,,,,SurveyUSA-3
142.5,12,California,55,52,35,,May 27,,,,,,,,Field Poll-12
141.5,2,California,55,47,40,,May 21,,,,,,,,LA Times-2
141.0,1,California,55,52,38,,May 20,,,,,,,,Rasmussen-1
138.0,3,California,55,49,41,,May 18,,,,,,,,SurveyUSA-3
107.0,1,California,55,50,43,,Apr 16,,,,,,,,Rasmussen-1
103.0,3,California,55,50,43,,Apr 13,,,,,,,,SurveyUSA-3
 75.0,3,California,55,54,40,,Mar 16,,,,,,,,SurveyUSA-3
 74.5,8,California,55,49,40,,Mar 18,,,,,,,,Public Policy Inst. of Calif.-8
 72.0,1,California,55,53,38,,Mar 12,,,,,,,,Rasmussen-1
 58.0,3,California,55,51,40,,Feb 28,,,,,,,,SurveyUSA-3
 47.0,3,California,55,61,34,,Feb 17,,,,,,,,SurveyUSA-3
  1.0,1,California,55,55,44,,Jan 01,,,,,,,,Election 2004-1
279.0,1,Colorado,9,51,45,,Oct 05,,,,,,,,Rasmussen-1
274.0,3,Colorado,9,44,44,,Oct 01,,,,,,,,Mason-Dixon-3
272.0,1,Colorado,9,49,48,,Sep 28,,,,,,,,Rasmussen-1
268.0,3,Colorado,9,45,48,,Sep 25,,,,,,,,ARG-3
267.0,1,Colorado,9,50,41,,Sep 23,,,,,,,,Insider Advantage-1
267.0,1,Colorado,9,50,47,,Sep 23,,,,,,,,Rasmussen-1
266.0,3,Colorado,9,51,47,,Sep 23,,,,,,,,Opinion Research-3
265.0,5,Colorado,9,44,43,,Sep 23,,,,,,,,Ciruli Assoc.-5
261.5,8,Colorado,9,49,45,,Sep 21,,,,,,,,Quinnipiac U.-8
261.0,1,Colorado,9,51,41,,Sep 17,,,,,,,,Insider Advantage-1
258.0,1,Colorado,9,46,48,,Sep 14,,,,,,,,Rasmussen-1
257.0,5,Colorado,9,45,44,,Sep 15,,,,,,,,FD-5
255.5,4,Colorado,9,44,46,,Sep 13,,,,,,,,ARG-4
253.5,2,Colorado,9,49,46,,Sep 10,,,,,,,,Insider Advantage-2
251.0,1,Colorado,9,49,46,,Sep 07,,,,,,,,Rasmussen-1
238.0,3,Colorado,9,46,47,,Aug 26,,,,,,,,Opinion Research-3
235.5,4,Colorado,9,44,39,,Aug 24,,,,,,,,Suffolk U.-4
231.0,7,Colorado,9,46,47,,Aug 21,,,,,,,,Quinnipiac U.-7
227.0,3,Colorado,9,46,43,,Aug 15,,,,,,,,Mason-Dixon-3
226.0,1,Colorado,9,45,47,,Aug 13,,,,,,,,Rasmussen-1
225.0,3,Colorado,9,41,44,,Aug 13,,,,,,,,Rocky Mtn Poll-3
203.0,1,Colorado,9,49,42,,Jul 21,,,,,,,,Rasmussen-1
200.0,9,Colorado,9,44,46,,Jul 22,,,,,,,,Quinnipiac U.-9
172.5,8,Colorado,9,49,44,,Jun 24,,,,,,,,Quinnipiac U.-8
169.0,1,Colorado,9,43,41,,Jun 17,,,,,,,,Rasmussen-1
140.0,1,Colorado,9,48,42,,May 19,,,,,,,,Rasmussen-1
107.0,1,Colorado,9,46,43,,Apr 16,,,,,,,,Rasmussen-1
 77.0,1,Colorado,9,46,46,,Mar 17,,,,,,,,Rasmussen-1
 58.0,3,Colorado,9,50,41,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Colorado,9,47,52,,Jan 01,,,,,,,,Election 2004-1
268.5,2,Connecticut,7,54,38,,Sep 25,,,,,,,,SurveyUSA-2
265.0,5,Connecticut,7,49,35,,Sep 23,,,,,,,,Pulsar Research-5
262.0,3,Connecticut,7,54,39,,Sep 19,,,,,,,,ARG-3
260.0,1,Connecticut,7,53,41,,Sep 16,,,,,,,,Rasmussen-1
213.0,1,Connecticut,7,51,36,,Jul 31,,,,,,,,Rasmussen-1
183.0,3,Connecticut,7,57,35,,Jul 02,,,,,,,,Research 2000-3
182.0,1,Connecticut,7,52,35,,Jun 30,,,,,,,,Rasmussen-1
179.5,4,Connecticut,7,56,35,,Jun 29,,,,,,,,Quinnipiac U.-4
150.0,1,Connecticut,7,47,44,,May 29,,,,,,,,Rasmussen-1
 81.5,6,Connecticut,7,52,35,,Mar 24,,,,,,,,Quinnipiac U.-6
 71.0,1,Connecticut,7,50,38,,Mar 11,,,,,,,,Rasmussen-1
 58.0,3,Connecticut,7,55,34,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Connecticut,7,54,44,,Jan 01,,,,,,,,Election 2004-1
256.0,3,D.C.,3,82,13,,Sep 13,,,,,,,,ARG-3
  1.0,1,D.C.,3,90,9,,Jan 01,,,,,,,,Election 2004-1
266.5,2,Delaware,3,57,37,,Sep 23,,,,,,,,SurveyUSA-2
263.0,5,Delaware,3,56,36,,Sep 21,,,,,,,,Fairleigh Dickinson U.-5
258.0,3,Delaware,3,51,40,,Sep 15,,,,,,,,ARG-3
257.0,1,Delaware,3,55,43,,Sep 13,,,,,,,,Rasmussen-1
 58.0,3,Delaware,3,50,41,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Delaware,3,53,46,,Jan 01,,,,,,,,Election 2004-1
279.0,1,Florida,27,52,45,,Oct 05,,,,,,,,Rasmussen-1
274.0,1,Florida,27,49,46,,Sep 30,,,,,,,,Insider Advantage-1
273.0,3,Florida,27,51,47,,Sep 30,,,,,,,,Opinion Research-3
272.5,4,Florida,27,46,42,,Sep 30,,,,,,,,Suffolk U.-4
272.0,1,Florida,27,47,47,,Sep 28,,,,,,,,Rasmussen-1
272.0,3,Florida,27,51,43,,Sep 29,,,,,,,,Quinnipiac U.-3
271.5,2,Florida,27,47,48,,Sep 28,,,,,,,,SurveyUSA-2
268.0,1,Florida,27,47,48,,Sep 24,,,,,,,,Rasmussen-1
268.0,3,Florida,27,47,46,,Sep 25,,,,,,,,ARG-3
265.0,1,Florida,27,46,51,,Sep 21,,,,,,,,Rasmussen-1
261.0,3,Florida,27,47,45,,Sep 18,,,,,,,,Mason-Dixon-3
260.5,2,Florida,27,45,51,,Sep 17,,,,,,,,SurveyUSA-2
260.5,4,Florida,27,45,46,,Sep 18,,,,,,,,Research 2000-4
259.5,4,Florida,27,45,47,,Sep 17,,,,,,,,Schroth/Polling Co.-4
259.5,4,Florida,27,46,46,,Sep 17,,,,,,,,ARG-4
259.0,3,Florida,27,48,48,,Sep 16,,,,,,,,Opinion Research-3
258.0,1,Florida,27,44,49,,Sep 14,,,,,,,,Rasmussen-1
257.0,5,Florida,27,44,44,,Sep 15,,,,,,,,FD-5
256.0,7,Florida,27,45,46,,Sep 15,,,,,,,,Research 2000-7
253.5,2,Florida,27,42,50,,Sep 10,,,,,,,,Insider Advantage-2
251.0,1,Florida,27,48,48,,Sep 07,,,,,,,,Rasmussen-1
251.0,5,Florida,27,43,50,,Sep 09,,,,,,,,Quinnipiac U.-5
238.5,2,Florida,27,45,44,,Aug 26,,,,,,,,Mason-Dixon-2
233.5,8,Florida,27,43,47,,Aug 24,,,,,,,,Quinnipiac U.-8
232.0,3,Florida,27,46,47,,Aug 20,,,,,,,,ARG-3
231.0,1,Florida,27,43,46,,Aug 18,,,,,,,,Rasmussen-1
224.0,1,Florida,27,44,48,,Aug 11,,,,,,,,Insider Advantage-1
215.0,3,Florida,27,44,50,,Aug 03,,,,,,,,SurveyUSA-3
208.0,7,Florida,27,46,44,,Jul 29,,,,,,,,Quinnipiac U.-7
204.0,1,Florida,27,46,45,,Jul 22,,,,,,,,Rasmussen-1
202.0,3,Florida,27,45,47,,Jul 21,,,,,,,,ARG-3
178.0,1,Florida,27,41,48,,Jun 26,,,,,,,,Rasmussen-1
170.0,1,Florida,27,39,47,,Jun 18,,,,,,,,Rasmussen-1
167.0,5,Florida,27,49,44,,Jun 17,,,,,,,,ARG-5
164.5,8,Florida,27,47,43,,Jun 16,,,,,,,,Quinnipiac U.-8
140.0,1,Florida,27,40,50,,May 19,,,,,,,,Rasmussen-1
137.5,8,Florida,27,41,45,,May 20,,,,,,,,Quinnipiac U.-8
117.0,7,Florida,27,43,44,,Apr 29,,,,,,,,Quinnipiac U.-7
101.0,1,Florida,27,38,53,,Apr 10,,,,,,,,Rasmussen-1
 87.5,8,Florida,27,37,46,,Mar 31,,,,,,,,Quinnipiac U.-8
 72.0,1,Florida,27,43,47,,Mar 12,,,,,,,,Rasmussen-1
 58.0,3,Florida,27,45,47,,Feb 28,,,,,,,,SurveyUSA-3
 47.0,1,Florida,27,37,53,,Feb 16,,,,,,,,Rasmussen-1
  1.0,1,Florida,27,47,52,,Jan 01,,,,,,,,Election 2004-1
274.0,1,Georgia,15,44,50,,Sep 30,,,,,,,,Insider Advantage-1
274.0,3,Georgia,15,43,50,,Oct 01,,,,,,,,Research 2000-3
272.5,2,Georgia,15,44,52,,Sep 29,,,,,,,,SurveyUSA-2
263.5,4,Georgia,15,39,57,,Sep 21,,,,,,,,ARG-4
261.0,1,Georgia,15,43,51,,Sep 17,,,,,,,,Insider Advantage-1
260.0,1,Georgia,15,43,54,,Sep 16,,,,,,,,Rasmussen-1
259.0,3,Georgia,15,41,57,,Sep 16,,,,,,,,SurveyUSA-3
254.0,1,Georgia,15,38,56,,Sep 10,,,,,,,,Insider Advantage-1
227.0,1,Georgia,15,43,50,,Aug 14,,,,,,,,Rasmussen-1
199.0,1,Georgia,15,39,48,,Jul 17,,,,,,,,Rasmussen-1
184.0,1,Georgia,15,44,46,,Jul 02,,,,,,,,Insider Advantage-1
178.0,1,Georgia,15,43,53,,Jun 26,,,,,,,,Rasmussen-1
170.0,1,Georgia,15,43,44,,Jun 18,,,,,,,,Insider Advantage-1
156.0,1,Georgia,15,41,51,,Jun 04,,,,,,,,Rasmussen-1
127.0,1,Georgia,15,39,53,,May 06,,,,,,,,Rasmussen-1
 80.0,1,Georgia,15,40,53,,Mar 20,,,,,,,,Rasmussen-1
 58.0,3,Georgia,15,41,54,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Georgia,15,41,58,,Jan 01,,,,,,,,Election 2004-1
264.0,1,Hawaii,4,68,27,,Sep 20,,,,,,,,Rasmussen-1
253.5,6,Hawaii,4,63,32,,Sep 12,,,,,,,,ARG-6
 58.0,3,Hawaii,4,61,31,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Hawaii,4,54,45,,Jan 01,,,,,,,,Election 2004-1
260.5,2,Idaho,4,33,62,,Sep 17,,,,,,,,Research 2000-2
253.0,1,Idaho,4,29,68,,Sep 09,,,,,,,,Rasmussen-1
253.0,3,Idaho,4,25,68,,Sep 10,,,,,,,,ARG-3
233.0,5,Idaho,4,29,52,,Aug 22,,,,,,,,Greg Smith-5
211.0,3,Idaho,4,37,53,,Jul 30,,,,,,,,Research 2000-3
 58.0,3,Idaho,4,39,52,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Idaho,4,30,69,,Jan 01,,,,,,,,Election 2004-1
261.0,1,Illinois,21,56,40,,Sep 17,,,,,,,,Rasmussen-1
260.5,4,Illinois,21,56,36,,Sep 18,,,,,,,,Research 2000-4
259.5,4,Illinois,21,53,37,,Sep 17,,,,,,,,U. of Wisconsin-4
258.5,4,Illinois,21,51,45,,Sep 16,,,,,,,,ARG-4
225.0,1,Illinois,21,53,38,,Aug 12,,,,,,,,Rasmussen-1
190.0,1,Illinois,21,50,37,,Jul 08,,,,,,,,Rasmussen-1
 58.0,3,Illinois,21,60,31,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Illinois,21,55,45,,Jan 01,,,,,,,,Election 2004-1
273.0,3,Indiana,11,45,46,,Sep 30,,,,,,,,Research 2000-3
272.5,2,Indiana,11,45,48,,Sep 29,,,,,,,,SurveyUSA-2
261.5,2,Indiana,11,47,49,,Sep 18,,,,,,,,Rasmussen-2
260.5,4,Indiana,11,44,47,,Sep 18,,,,,,,,ARG-4
259.5,4,Indiana,11,43,47,,Sep 17,,,,,,,,U. of Wisconsin-4
259.0,3,Indiana,11,45,51,,Sep 16,,,,,,,,Opinion Research-3
259.0,3,Indiana,11,47,44,,Sep 16,,,,,,,,Selzer-3
242.5,2,Indiana,11,43,45,,Aug 30,,,,,,,,Howey-Gauge-2
233.0,3,Indiana,11,42,46,,Aug 21,,,,,,,,Rasmussen-3
230.0,3,Indiana,11,44,50,,Aug 18,,,,,,,,SurveyUSA-3
174.0,3,Indiana,11,48,47,,Jun 23,,,,,,,,SurveyUSA-3
150.5,6,Indiana,11,38,47,,Jun 01,,,,,,,,Ind. Legis. Insight-6
113.5,4,Indiana,11,43,51,,Apr 24,,,,,,,,Research 2000-4
112.5,4,Indiana,11,49,41,,Apr 23,,,,,,,,Selzer-4
106.0,3,Indiana,11,44,51,,Apr 16,,,,,,,,IPFW U.-3
 58.0,3,Indiana,11,41,50,,Feb 28,,,,,,,,SurveyUSA-3
 34.5,2,Indiana,11,40,50,,Feb 04,,,,,,,,SurveyUSA-2
  1.0,1,Indiana,11,39,60,,Jan 01,,,,,,,,Election 2004-1
273.5,2,Iowa,7,55,39,,Sep 30,,,,,,,,Research 2000-2
269.0,1,Iowa,7,51,43,,Sep 25,,,,,,,,Rasmussen-1
263.5,4,Iowa,7,51,41,,Sep 21,,,,,,,,Marist Coll.-4
262.5,4,Iowa,7,51,44,,Sep 20,,,,,,,,ARG-4
261.5,2,Iowa,7,54,43,,Sep 18,,,,,,,,SurveyUSA-2
260.0,3,Iowa,7,53,39,,Sep 17,,,,,,,,Research 2000-3
259.5,4,Iowa,7,45,45,,Sep 17,,,,,,,,U. of Wisconsin-4
253.0,3,Iowa,7,52,40,,Sep 10,,,,,,,,Selzer-3
245.0,3,Iowa,7,55,40,,Sep 02,,,,,,,,Opinion Research-3
221.5,10,Iowa,7,50,43,,Aug 13,,,,,,,,U. of Iowa-10
220.0,1,Iowa,7,46,41,,Aug 07,,,,,,,,Rasmussen-1
192.0,1,Iowa,7,51,41,,Jul 10,,,,,,,,Rasmussen-1
166.5,4,Iowa,7,49,45,,Jun 16,,,,,,,,SurveyUSA-4
162.0,1,Iowa,7,45,38,,Jun 10,,,,,,,,Rasmussen-1
142.5,2,Iowa,7,47,38,,May 22,,,,,,,,SurveyUSA-2
134.0,1,Iowa,7,44,42,,May 13,,,,,,,,Rasmussen-1
113.0,3,Iowa,7,49,41,,Apr 23,,,,,,,,Research 2000-3
103.0,3,Iowa,7,49,42,,Apr 13,,,,,,,,SurveyUSA-3
 91.0,1,Iowa,7,46,42,,Mar 31,,,,,,,,Rasmussen-1
 75.0,3,Iowa,7,50,44,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Iowa,7,50,41,,Feb 28,,,,,,,,SurveyUSA-3
 49.0,1,Iowa,7,44,41,,Feb 18,,,,,,,,Rasmussen-1
 47.0,3,Iowa,7,51,41,,Feb 17,,,,,,,,SurveyUSA-3
  1.0,1,Iowa,7,49,50,,Jan 01,,,,,,,,Election 2004-1
265.5,2,Kansas,6,41,53,,Sep 22,,,,,,,,SurveyUSA-2
262.0,1,Kansas,6,38,58,,Sep 18,,,,,,,,Rasmussen-1
252.5,4,Kansas,6,31,63,,Sep 10,,,,,,,,ARG-4
232.0,3,Kansas,6,35,58,,Aug 20,,,,,,,,SurveyUSA-3
224.0,1,Kansas,6,37,52,,Aug 11,,,,,,,,Rasmussen-1
196.0,1,Kansas,6,32,52,,Jul 14,,,,,,,,Rasmussen-1
163.0,1,Kansas,6,37,47,,Jun 11,,,,,,,,Rasmussen-1
155.0,3,Kansas,6,40,51,,Jun 04,,,,,,,,Research 2000-3
138.0,3,Kansas,6,39,49,,May 18,,,,,,,,SurveyUSA-3
134.0,1,Kansas,6,34,55,,May 13,,,,,,,,Rasmussen-1
103.0,3,Kansas,6,37,54,,Apr 13,,,,,,,,SurveyUSA-3
 75.0,3,Kansas,6,39,51,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Kansas,6,41,50,,Feb 28,,,,,,,,SurveyUSA-3
 47.0,3,Kansas,6,44,50,,Feb 17,,,,,,,,SurveyUSA-3
  1.0,1,Kansas,6,37,62,,Jan 01,,,,,,,,Election 2004-1
274.0,1,Kentucky,8,42,52,,Sep 30,,,,,,,,Rasmussen-1
267.5,4,Kentucky,8,41,53,,Sep 25,,,,,,,,Mason-Dixon-4
265.5,2,Kentucky,8,38,57,,Sep 22,,,,,,,,SurveyUSA-2
260.0,3,Kentucky,8,37,55,,Sep 17,,,,,,,,Research 2000-3
254.0,5,Kentucky,8,37,57,,Sep 12,,,,,,,,ARG-5
223.0,3,Kentucky,8,37,55,,Aug 11,,,,,,,,SurveyUSA-3
211.0,1,Kentucky,8,39,49,,Jul 29,,,,,,,,Rasmussen-1
211.0,3,Kentucky,8,35,56,,Jul 30,,,,,,,,Research 2000-3
206.5,10,Kentucky,8,39,49,,Jul 29,,,,,,,,Rasmussen-10
177.0,1,Kentucky,8,35,51,,Jun 25,,,,,,,,Rasmussen-1
166.5,4,Kentucky,8,41,53,,Jun 16,,,,,,,,SurveyUSA-4
138.0,3,Kentucky,8,32,56,,May 18,,,,,,,,SurveyUSA-3
129.0,3,Kentucky,8,33,58,,May 09,,,,,,,,Research 2000-3
103.0,3,Kentucky,8,29,63,,Apr 13,,,,,,,,SurveyUSA-3
 75.0,3,Kentucky,8,28,64,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Kentucky,8,33,54,,Feb 28,,,,,,,,SurveyUSA-3
 34.5,2,Kentucky,8,32,61,,Feb 04,,,,,,,,SurveyUSA-2
  1.0,1,Kentucky,8,40,60,,Jan 01,,,,,,,,Election 2004-1
269.0,1,Louisiana,9,40,55,,Sep 25,,,,,,,,Rasmussen-1
254.5,4,Louisiana,9,43,50,,Sep 12,,,,,,,,ARG-4
230.0,1,Louisiana,9,38,55,,Aug 17,,,,,,,,Rasmussen-1
191.0,1,Louisiana,9,37,56,,Jul 09,,,,,,,,Rasmussen-1
179.0,3,Louisiana,9,36,52,,Jun 28,,,,,,,,Opinion Res.-3
149.0,1,Louisiana,9,41,50,,May 28,,,,,,,,Rasmussen-1
100.0,1,Louisiana,9,41,52,,Apr 09,,,,,,,,Rasmussen-1
 93.0,15,Louisiana,9,35,51,,Apr 09,,,,,,,,Opinion Res.-15
 58.0,3,Louisiana,9,39,54,,Feb 28,,,,,,,,SurveyUSA-3
  1.0,1,Louisiana,9,42,57,,Jan 01,,,,,,,,Election 2004-1
276.0,1,Maine,4,51,46,,Oct 02,,,,,,,,Rasmussen-1
266.5,2,Maine,4,49,44,,Sep 23,,,,,,,,SurveyUSA-2
261.0,1,Maine,4,50,46,,Sep 17,,,,,,,,Rasmussen-1
253.0,3,Maine,4,51,41,,Sep 10,,,,,,,,ARG-3
253.0,3,Maine,4,52,38,,Sep 10,,,,,,,,Research 2000-3
225.0,1,Maine,4,49,36,,Aug 12,,,,,,,,Rasmussen-1
199.0,1,Maine,4,46,36,,Jul 17,,,,,,,,Rasmussen-1
168.0,1,Maine,4,55,33,,Jun 16,,,,,,,,Rasmussen-1
166.0,9,Maine,4,37,26,,Jun 18,,,,,,,,Pan Atlantic SMS-9
